id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
86,COMP_M,6,6_01,M.USER.APP.6,9,7,31,0,None,0.3,6805.000100000002,6805.300100000002,6800.0,6805.000100000002
87,COMP_M,6,6_01,M.USER.APP.6,10,7,20,0,None,0.3,6812.000040000001,6812.300040000001,6810.0,6812.000040000001
88,COMP_M,6,6_01,M.USER.APP.6,9,7,31,0,None,0.3,6835.000100000002,6835.300100000002,6830.0,6835.000100000002
89,COMP_M,6,6_01,M.USER.APP.6,10,7,20,0,None,0.3,6842.000040000001,6842.300040000001,6840.0,6842.000040000001
90,COMP_M,6,6_01,M.USER.APP.6,9,7,31,0,None,0.3,6865.000100000002,6865.300100000002,6860.0,6865.000100000002
91,COMP_M,6,6_01,M.USER.APP.6,10,7,20,0,None,0.3,6872.000040000001,6872.300040000001,6870.0,6872.000040000001
92,COMP_M,6,6_01,M.USER.APP.6,9,7,31,0,None,0.3,6895.000100000002,6895.300100000002,6890.0,6895.000100000002
93,COMP_M,6,6_01,M.USER.APP.6,10,7,20,0,None,0.3,6902.000040000001,6902.300040000001,6900.0,6902.000040000001
94,COMP_M,6,6_01,M.USER.APP.6,9,7,31,0,None,0.3,6925.000100000002,6925.300100000002,6920.0,6925.000100000002
95,COMP_M,6,6_01,M.USER.APP.6,10,7,20,0,None,0.3,6932.000040000001,6932.300040000001,6930.0,6932.000040000001
96,COMP_M,6,6_01,M.USER.APP.6,9,7,31,0,None,0.3,6955.000100000002,6955.300100000002,6950.0,6955.000100000002
97,COMP_M,6,6_01,M.USER.APP.6,10,7,20,0,None,0.3,6962.000040000001,6962.300040000001,6960.0,6962.000040000001
98,COMP_M,6,6_01,M.USER.APP.6,9,7,31,0,None,0.3,6985.000100000002,6985.300100000002,6980.0,6985.000100000002
99,COMP_M,6,6_01,M.USER.APP.6,10,7,20,0,None,0.3,6992.000040000001,6992.300040000001,6990.0,6992.000040000001
100,COMP_M,6,6_01,M.USER.APP.6,9,7,8,0,None,0.3,7011.00002,7011.300020000001,7010.0,7011.00002
101,COMP_M,6,6_01,M.USER.APP.6,10,7,20,0,None,0.3,7022.000040000001,7022.300040000001,7020.0,7022.000040000001
102,COMP_M,6,6_01,M.USER.APP.6,9,7,8,0,None,0.3,7041.00002,7041.300020000001,7040.0,7041.00002
103,COMP_M,6,6_01,M.USER.APP.6,10,7,20,0,None,0.3,7052.000040000001,7052.300040000001,7050.0,7052.000040000001
104,COMP_M,6,6_01,M.USER.APP.6,9,7,8,0,None,0.3,7071.00002,7071.300020000001,7070.0,7071.00002
105,COMP_M,6,6_01,M.USER.APP.6,10,7,20,0,None,0.3,7082.000040000001,7082.300040000001,7080.0,7082.000040000001
